"tract-id",income-range
"380400",
"380900",
"381200",
"381400",
"390200",
"340600",
"351000",
"351300",
"351500",
"360200",
"360500",4
"330300",
"330500",
"311300",
"690600",
"510400",
"460600",
"440700",
"381000",
"430200",
"420100",
"360400",
"320400",
"310800",
"300600",
"290800",
"282500",
"283800",
"281600",
"260100",
"251500",
"243200",
"241200",
"230400",
"220900",
"200600",
"190600",
"170100",
"171000",
"080800",
"130500",
"110400",
"072000",5
"070900",5
"061600",
"050900",
"040600",
"031500",
"720400",
"740400",
"820800",
"720700",
"730600",
"710400",
"740200",4
"710600",
"710900",
"711100",
"691400",
"700300",
"710100",
"690200",
"690400",
"690700",
"690900",
"680800",
"671100",
"310900",
"660900",
"612200",
"611000",
"601100",
"590300",
"580100",
"530500",
"320600",
"310200",
"301700",
"302000",
"292200",
"292400",
"292700",
"300500",
"300700",
"284200",
"290200",
"290400",
"290700",
"291300",
"291500",
"292000",
"282100",4
"283400",
"283700",
"283900",
"271900",
"280200",4
"281500",
"281700",
"270200",
"271700",
"270500",
"270700",
"271200",
"251900",
"252100",
"242700",
"260300",
"260500",
"250200",
"240300",
"250400",
"251400",
"242000",
"243000",
"243400",
"243300",
"250100",
"240900",
"241100",
"241700",
"222500",
"231600",
"230300",
"230500",
"230800",
"221200",
"231300",
"220500",
"221000",
"221500",
"221700",
"200500",
"200100",
"210100",
"210400",
"210600",
"220300",
"190200",
"200300",
"710300",
"190500",
"190700",
"191200",
"170700",
"160700",
"161000",
"161200",
"170200",
"080400",
"150500",
"150700",
"063000",
"151000",
"151200",
"160500",
"140100",
"140300",
"120200",
"070800",
"130100",
"130300",
"110500",
"100500",
"071000",5
"100100",
"063300",
"100300",
"080600",5
"071100",5
"060900",
"061400",
"061700",5
"061900",
"720300",5
"671800",
"390500",
"620300",
"600100",
"540100",
"431000",
"310100",
"301100",
"280800",
"271400",
"250600",
"231800",
"222100",
"191100",
"670900",
"120300",
"070400",
"671600",
"711400",
"560400",
"440800",
"410100",
"291800",
"280500",
"231000",
"090100",
"730100",
"730700",
"690300",
"691000",
"700500",
"680100",
"681000",
"670300",
"660500",
"640200",
"610800",
"650100",
"630100",
"630600",
"590100",
"611200",
"601400",
"580600",
"570400",
"560200",
"440200",
"561000",
"520100",
"480400",
"530200",
"510200",
"490500",
"460300",
"380200",
"450200",
"431300",
"381600",
"430100",
"430700",
"411200",4
"420400",
"400200",
"340500",
"350600",
"351400",
"370100",
"340100",
"311500",
"301600",
"310400",
"300100",
"300800",
"290500",
"291100",
"291700",
"282700",
"080900",
"283300",
"284000",
"280400",
"281400",
"260800",
"270400",
"271100",
"251800",
"250300",
"250500",
"251300",
"242300",
"242900",
"231700",
"240700",
"241300",
"222400",
"230100",
"220600",
"221900",
"210200",
"210800",
"190400",
"191300",
"170600",
"180200",
"160900",
"150400",
"151100",
"130400",
"120100",5
"070700",
"090300",
"081000",
"061100",
"061800",
"062500",
"081800",5
"071900",5
"080300",4
"730400",
"691200",
"680900",
"671000",
"680600",
"660600",
"640800",
"680300",
"630400",
"611600",
"601000",
"581000",
"570300",
"460500",
"450100",
"560900",
"490400",
"440100",
"430300",
"420200",
"490200",
"351100",
"252000",
"612000",
"231500",
"070300",
"020900",
"252400",
"530100",
"222700",
"500200",
"390600",
"400800",
"010400",
"242200",
